time,symbol,score,signal,position,action,close_price
2025-10-17 20:00:00,BTC,10.9,空,flat,reduce_short,105350.4
2025-10-17 20:00:00,ETH,16.4,空,flat,reduce_short,3775.44
2025-10-17 20:00:00,SOL,40.9,空,flat,reduce_short,180.04
2025-10-18 00:00:00,BTC,75.4,多,long,open_long,106372.34
2025-10-18 00:00:00,ETH,28.0,空,short,open_short,3787.94
2025-10-18 00:00:00,SOL,32.9,空,short,open_short,182.34
2025-10-18 04:00:00,BTC,90.8,多,long,hold,107021.37
2025-10-18 04:00:00,ETH,100.0,多,flat,reduce_short,3858.95
2025-10-18 04:00:00,SOL,69.3,多,flat,reduce_short,183.68
2025-10-18 08:00:00,BTC,25.6,空,flat,reduce_long,106845.52
2025-10-18 08:00:00,ETH,31.2,空,short,open_short,3840.25
2025-10-18 08:00:00,SOL,33.4,空,short,open_short,182.87
2025-10-18 12:00:00,BTC,24.7,空,short,open_short,106478.71
2025-10-18 12:00:00,ETH,40.3,空,flat,reduce_short,3844.44
2025-10-18 12:00:00,SOL,39.1,空,flat,reduce_short,183.44
2025-10-18 16:00:00,BTC,100.0,多,flat,reduce_short,106719.2
2025-10-18 16:00:00,ETH,100.0,多,long,open_long,3876.68
2025-10-18 16:00:00,SOL,100.0,多,long,open_long,185.92
2025-10-18 20:00:00,BTC,100.0,多,long,open_long,107065.17
2025-10-18 20:00:00,ETH,88.4,多,flat,reduce_long,3883.18
2025-10-18 20:00:00,SOL,90.3,多,flat,reduce_long,186.08
2025-10-19 00:00:00,BTC,41.4,空,flat,reduce_long,106664.01
2025-10-19 00:00:00,ETH,52.5,中性,flat,hold,3865.53
2025-10-19 00:00:00,SOL,62.5,多,long,open_long,184.23
2025-10-19 04:00:00,BTC,72.5,多,long,open_long,107018.51
2025-10-19 04:00:00,ETH,54.3,中性,flat,hold,3885.71
2025-10-19 04:00:00,SOL,80.8,多,long,hold,186.59
2025-10-19 08:00:00,BTC,50.6,中性,flat,reduce_long,106898.03
2025-10-19 08:00:00,ETH,39.9,空,short,open_short,3869.17
2025-10-19 08:00:00,SOL,66.7,多,flat,reduce_long,185.75
